gene_id,species_id
acomys_regen,acomys_cahirinus
acr3_pteris,pteris_vittata
afp_fish,pseudopleuronectes_americanus
aldh3a2_parrot,agapornis_roseicollis
angptl3_base_edit,homo_sapiens
apoc3_lof,homo_sapiens
apoe_edit,homo_sapiens
aqp1,cyclorana_platycephala
asc2_bat,pteropus_alecto
asgr1_lof,homo_sapiens
atg5_oe,homo_sapiens
atg5_oe,mus_musculus
atoh1_gfi1_pou4f3_haircell,coturnix_japonica
avlige_rotifer,adineta_vaga
bub1b_t23,homo_sapiens
bub1b_t23,mus_musculus
cahs_d,ramazzottius_varieornatus
cbp_gecko,gekko_japonicus
cdc42_casin,homo_sapiens
cdc42_casin,mus_musculus
cetp_lof,homo_sapiens
chrna1_mongoose,herpestes_ichneumon
cirbp,balaena_mysticetus
cisd2,homo_sapiens
cisd2,mus_musculus
clock_bmal1_dolphin,tursiops_truncatus
cltx,leiurus_quinquestriatus
clu_secreted,drosophila_melanogaster
clu_secreted,homo_sapiens
clu_secreted,mus_musculus
cpdp_potoroo,potorous_tridactylus
cry4a_robin,erithacus_rubecula
csmg_snail,chrysomallon_squamiferum
ctf1_ko,homo_sapiens
ctf1_ko,mus_musculus
cyp2j19_bdh1l_keto,gallus_gallus
dsup,ramazzottius_varieornatus
ectabc_halomonas,halomonas_elongata
epas1_tibetan,homo_sapiens
epg_catfish,malapterurus_electricus
fgf18_cartilage,homo_sapiens
fgf21_stgfbr2,homo_sapiens
fgf21_stgfbr2,mus_musculus
fluc,photinus_pyralis
foxo3,homo_sapiens
fst344,homo_sapiens
fth1b_shark,somniosus_microcephalus
g6pd,homo_sapiens
g6pd,mus_musculus
gaafp_glaciozyma,glaciozyma_antarctica
gdf15_oe,homo_sapiens
gdf15_oe,mus_musculus
gfp,aequorea_victoria
ghr_laron,homo_sapiens
glassin_sponge,euplectella_aspergillum
glut5_khk_nmr,heterocephalus_glaber
greenland_shark_repair,somniosus_microcephalus
grn_aav,homo_sapiens
grn_aav,mus_musculus
gsr_glutathione_recycling,caenorhabditis_elegans
gsr_glutathione_recycling,drosophila_melanogaster
gsr_glutathione_recycling,homo_sapiens
h1f0_shark,somniosus_microcephalus
has2_nmr,heterocephalus_glaber
hkt15_einkorn,triticum_monococcum
hsf1_pv,polypedilum_vanderplanki
hsp104_potentiated,saccharomyces_cerevisiae
hspa1a_ehsp70,homo_sapiens
hspa1a_ehsp70,mus_musculus
igf1r_het,homo_sapiens
igf1r_het,mus_musculus
ikbkb_brain_ko,homo_sapiens
ikbkb_brain_ko,mus_musculus
kcnma1_skate,leucoraja_erinacea
klotho,homo_sapiens
klotho,mus_musculus
lin28a,ambystoma_mexicanum
lmna_abe_g608g,homo_sapiens
lrrc10_cardiac,danio_rerio
mahs_tardigrade,ramazzottius_varieornatus
masp1,trichonephila_clavipes
mb_seal,leptonychotes_weddellii
mcat,homo_sapiens
mcat,mus_musculus
mefp5_mussel,mytilus_edulis
melanin_pathway,cladosporium_sphaerospermum
mgmt_p140k,homo_sapiens
mif_ko,homo_sapiens
mif_ko,mus_musculus
mstn_ko,bos_taurus
mstn_ko,canis_familiaris
mstn_ko,homo_sapiens
mtor_hypomorph,homo_sapiens
mtor_hypomorph,mus_musculus
mupks_budgerigar,melopsittacus_undulatus
newtic1_newt,cynops_pyrrhogaster
ngf_corneal_nerve,homo_sapiens
nudt1_mth1_tg,homo_sapiens
nudt1_mth1_tg,mus_musculus
oil_droplet_apocarotenoid,taeniopygia_guttata
opn5_deep_brain,coturnix_japonica
osk_partial_reprog,mus_musculus
pappa_ko,homo_sapiens
pappa_ko,mus_musculus
parietopsin_lizard,uta_stansburiana
pcsk9_edit,homo_sapiens
pdc_adh8a_carp,carassius_carassius
pgc1a_gut_stem,drosophila_melanogaster
pgc1a_gut_stem,homo_sapiens
pgc1a_gut_stem,mus_musculus
piezo2,mus_musculus
pif,pinctada_fucata
plaur_car_senolytic,homo_sapiens
pot1_turritopsis,turritopsis_dohrnii
pparg_pro12ala,homo_sapiens
pparg_pro12ala,mus_musculus
ppri_ppra,deinococcus_radiodurans
pr_marine_photoheterotroph,gammaproteobacterium_ebac31a08
prestin_echo,pteropus_alecto
prestin_echo,tursiops_truncatus
prkar2b_ko,homo_sapiens
prkar2b_ko,mus_musculus
pten_extra_copy,homo_sapiens
pten_extra_copy,mus_musculus
ptugt1_indigo,persicaria_tinctoria
pvlea,polypedilum_vanderplanki
pvlil_rotifer,adineta_vaga
pvpimt,polypedilum_vanderplanki
rbm3,urocitellus_parryii
reflectin,sepia_officinalis
resilin,drosophila_melanogaster
rgy_pyrococcus,pyrococcus_furiosus
rh1_spinyfin,diretmus_argenteus
rps6kb1_ko,homo_sapiens
rps6kb1_ko,mus_musculus
s100a10_deer,dama_dama
scaldh21_moss,syntrichia_caninervis
scn4aa,electrophorus_electricus
sirt1_brasto,homo_sapiens
sirt1_brasto,mus_musculus
sirt4_fatbody,drosophila_melanogaster
sirt4_fatbody,homo_sapiens
sirt6_cent_variant,homo_sapiens
slc30a8_ko,homo_sapiens
smedwi,schmidtea_mediterranea
sod2,heterocephalus_glaber
sor_pyrococcus,pyrococcus_furiosus
sostdc1_usag1_tooth,mustela_putorius_furo
sting_bat,pteropus_alecto
suckerin_squid,dosidicus_gigas
sws1_bird,melopsittacus_undulatus
t1r1_t1r3_hummingbird,calypte_anna
tapetum,felis_catus
tcf3_e2a_knockdown,caenorhabditis_elegans
tcf3_e2a_knockdown,homo_sapiens
tcf3_e2a_knockdown,mus_musculus
tdr1,ramazzottius_varieornatus
tert,homarus_americanus
tert,mus_musculus
tka_tkg_hagfish,eptatretus_stoutii
tmat_tmm_myroides,myroides_profundi
tmc1,mus_musculus
tp53_elephant,loxodonta_africana
tp53_rtg9,loxodonta_africana
tps_pv,polypedilum_vanderplanki
trpa1_viper,crotalus_atrox
trpv1s_vampire_bat,desmodus_rotundus
ucp1,homo_sapiens
ucp1,mus_musculus
uhrf1_deer,dama_dama
v2r_snake_vno,pantherophis_guttatus
vegf_therapy,homo_sapiens
xrcc5_roughy,hoplostethus_atlanticus
