species_id,common_name,scientific_name,kingdom,phylum,class,order,family,ui_svg_path,ui_svg_type,jigsaw_layer,phylopic_uuid,phylopic_title,license,similar_to,flag,notes
acomys_cahirinus,Cairo spiny mouse,Acomys cahirinus,Animalia,Chordata,Mammalia,Rodentia,Deomyidae,assets/species_svg/acomys_cahirinus.svg,phylopic,29_spiny mouse,720396f4-3d8a-41e5-9505-555964202c0c,Acomys cahirinus dimidiatus,CC0,mus_musculus,ok,Exact genus+species in PhyloPic; subspecies dimidiatus is morphologically identical
adineta_vaga,Bdelloid Rotifer,Adineta vaga,Animalia,Rotifera,Bdelloidea,Philodinida,Adinetidae,assets/species_svg/adineta_vaga.svg,phylopic,,,,CC0,,pending,SVG to be sourced
aequorea_victoria,Crystal jellyfish,Aequorea victoria,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,assets/species_svg/aequorea_victoria.svg,phylopic,8_jellyfish,e4d57d67-c144-457a-877b-34faaaa16ed2,Clytia hemisphaerica,CC BY-SA 3.0,turritopsis_dohrnii,ok,A. victoria (Leptothecata) and C. hemisphaerica (Leptothecata) are in the same order; order-level match. Medusa body plan interchangeable across Hydrozoa. Supersedes previous byte-identical Narcomedusae PNG (ae1697f9). PhyloPic vector.svg (UUID e4d57d67-c144-457a-877b-34faaaa16ed2); prior hand-drawn trace retained as ALL_ANIMALS layer '8_jellyfish'.
ambystoma_mexicanum,Axolotl,Ambystoma mexicanum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,assets/species_svg/ambystoma_mexicanum.svg,phylopic,10_axolotl,575eaa51-6c9b-4d36-9881-b8463c68ebbc,Ambystoma mexicanum,CC0,,ok,Exact species. PhyloPic source.svg (UUID 575eaa51-6c9b-4d36-9881-b8463c68ebbc); prior hand-drawn trace retained as ALL_ANIMALS layer '10_axolotl'.
balaena_mysticetus,Bowhead whale,Balaena mysticetus,Animalia,Chordata,Mammalia,Artiodactyla,Balaenidae,assets/species_svg/balaena_mysticetus.svg,phylopic,7_whale,18438875-f6e8-4e46-8fda-5a07bd4c1a85,Balaena mysticetus,CC BY-SA 3.0,,ok,Exact species; attribution required. PhyloPic source.svg (UUID 18438875-f6e8-4e46-8fda-5a07bd4c1a85); prior hand-drawn trace retained as ALL_ANIMALS layer '7_whale'.
bos_taurus,Cattle (Belgian Blue),Bos taurus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,assets/species_svg/bos_taurus.svg,phylopic,31_cattle,0ebe16cb-4c74-4c77-9643-9e531a0840cc,Bos primigenius,CC BY 4.0,,ok,PhyloPic uses wild aurochs ancestor; silhouette indistinguishable from domestic cattle; attribution required
canis_familiaris,Dog (Whippet),Canis familiaris,Animalia,Chordata,Mammalia,Carnivora,Canidae,assets/species_svg/canis_familiaris.svg,phylopic,30_dog,3c534a59-fd0c-41bb-80c7-1d18db9bae13,Canis familiaris dingo,CC BY 3.0,,ok,PhyloPic uses dingo (C. familiaris dingo); same species; attribution required
chrysomallon_squamiferum,Scaly-foot Snail,Chrysomallon squamiferum,Animalia,Mollusca,Gastropoda,Neomphalida,Peltospiridae,assets/species_svg/chrysomallon_squamiferum.svg,phylopic,,,,CC0,,pending,SVG to be sourced
cladosporium_sphaerospermum,Chernobyl fungus,Cladosporium sphaerospermum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,assets/species_svg/cladosporium_sphaerospermum.svg,phylopic,4_fungi,a21310f5-2762-495d-b996-bc0bef7203fd,Schizosaccharomyces pombe,CC0,,ok,higher-taxon fallback (Ascomycota); S. pombe is Schizosaccharomycetes (different class from Cladosporium Dothideomycetes) but closest available fungal silhouette; acceptable as icon. PhyloPic source.svg (UUID a21310f5-2762-495d-b996-bc0bef7203fd); prior hand-drawn trace retained as ALL_ANIMALS layer '4_fungi'.
crotalus_atrox,Western diamondback rattlesnake,Crotalus atrox,Animalia,Chordata,Reptilia,Squamata,Viperidae,assets/species_svg/crotalus_atrox.svg,phylopic,15_pit viper,8748e7ab-6dc8-4384-a72b-37361ae8f60b,Crotalus atrox,CC BY 4.0,,ok,Exact species; attribution required. PhyloPic source.svg (UUID 8748e7ab-6dc8-4384-a72b-37361ae8f60b); prior hand-drawn trace retained as ALL_ANIMALS layer '15_pit viper'.
cyclorana_platycephala,Water-holding frog,Cyclorana platycephala,Animalia,Chordata,Amphibia,Anura,Hylidae,assets/species_svg/cyclorana_platycephala.svg,phylopic,27_frog,01a21193-6599-463c-a5f0-75b6fe03189d,Leiopelma archeyi,CC BY 3.0,,ok,Direct PhyloPic SVG download (Auckland Museum & T. Michael Keesey). Cyclorana absent from PhyloPic; L. archeyi (Leiopelmatidae) is a different family within order Anura; order-level match. Replaces previous jigsaw copy and phylopic PNG (Litoria raniformis)
cynops_pyrrhogaster,Japanese Fire-Belly Newt,Cynops pyrrhogaster,Animalia,Chordata,Amphibia,Urodela,Salamandridae,assets/species_svg/cynops_pyrrhogaster.svg,phylopic,,,,CC0,ambystoma_mexicanum,pending,SVG to be sourced; similar to axolotl silhouette
dama_dama,Fallow Deer,Dama dama,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,assets/species_svg/dama_dama.svg,phylopic,,,,CC0,,pending,SVG to be sourced
danio_rerio,Zebrafish,Danio rerio,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,assets/species_svg/danio_rerio.svg,phylopic,,,,CC0,,pending,SVG to be sourced
deinococcus_radiodurans,Conan the Bacterium,Deinococcus radiodurans,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,assets/species_svg/deinococcus_radiodurans.svg,phylopic,2_Deinococcus,40e8c1ed-c133-4930-9a9d-572d9ba8b0d5,Deinococcus radiodurans,CC BY-SA 3.0,,ok,Exact species; attribution required. PhyloPic source.svg (UUID 40e8c1ed-c133-4930-9a9d-572d9ba8b0d5); prior hand-drawn trace retained as ALL_ANIMALS layer '2_Deinococcus'.
desmodus_rotundus,Common Vampire Bat,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,assets/species_svg/desmodus_rotundus.svg,phylopic,,,,CC0,pteropus_alecto,pending,SVG to be sourced; similar to flying fox silhouette
diretmus_argenteus,Silver Spinyfin,Diretmus argenteus,Animalia,Chordata,Actinopterygii,Trachichthyiformes,Diretmidae,assets/species_svg/diretmus_argenteus.svg,phylopic,,,,CC0,,pending,SVG to be sourced
dosidicus_gigas,Humboldt Squid,Dosidicus gigas,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,assets/species_svg/dosidicus_gigas.svg,phylopic,,,,CC0,sepia_officinalis,pending,SVG to be sourced; similar to cuttlefish silhouette
drosophila_melanogaster,Fruit fly,Drosophila melanogaster,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,assets/species_svg/drosophila_melanogaster.svg,phylopic,36_fruit fly,b5160ba3-ad86-4123-92a7-1c55122f4a6c,Sophophora melanogaster,CC0,polypedilum_vanderplanki,ok,PhyloPic title uses obsolete synonym Sophophora (now synonymised into Drosophila); image accurate
electrophorus_electricus,Electric eel,Electrophorus electricus,Animalia,Chordata,Actinopterygii,Gymnotiformes,Electrophoridae,assets/species_svg/electrophorus_electricus.svg,phylopic,21_eel,c931ef9c-ff5a-4b7d-96b5-80a6be323b04,Electrophorus electricus,CC0,,ok,Exact species. PhyloPic source.svg (UUID c931ef9c-ff5a-4b7d-96b5-80a6be323b04); prior hand-drawn trace retained as ALL_ANIMALS layer '21_eel'.
erithacus_rubecula,European robin,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,assets/species_svg/erithacus_rubecula.svg,phylopic,17_european robin,3c4ef873-76b5-473d-a740-8fcb4864462b,Erithacus rubecula,CC BY 3.0,melopsittacus_undulatus,ok,Exact species; attribution required. PhyloPic source.svg (UUID 3c4ef873-76b5-473d-a740-8fcb4864462b); prior hand-drawn trace retained as ALL_ANIMALS layer '17_european robin'.
euplectella_aspergillum,Venus Flower Basket Sponge,Euplectella aspergillum,Animalia,Porifera,Hexactinellida,Lyssacinosida,Euplectellidae,assets/species_svg/euplectella_aspergillum.svg,phylopic,,,,CC0,,pending,SVG to be sourced
felis_catus,Cat,Felis catus,Animalia,Chordata,Mammalia,Carnivora,Felidae,assets/species_svg/felis_catus.svg,phylopic,18_cat,e9f41f59-d708-47aa-a705-ba9b8826ebc6,Felis lybica catus,CC0,,ok,Exact subspecies (domestic cat). PhyloPic source.svg (UUID e9f41f59-d708-47aa-a705-ba9b8826ebc6); prior hand-drawn trace retained as ALL_ANIMALS layer '18_cat'.
gekko_japonicus,Japanese gecko,Gekko japonicus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,assets/species_svg/gekko_japonicus.svg,phylopic,23_gecko,9aca34d8-4dde-418d-9fdc-2d58b6a7b267,Gekko gecko,CC0,,ok,Same genus; Tokay gecko body plan identical at silhouette resolution. PhyloPic source.svg (UUID 9aca34d8-4dde-418d-9fdc-2d58b6a7b267); prior hand-drawn trace retained as ALL_ANIMALS layer '23_gecko'.
glaciozyma_antarctica,Antarctic Yeast,Glaciozyma antarctica,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,assets/species_svg/glaciozyma_antarctica.svg,phylopic,,,,CC0,,pending,SVG to be sourced
herpestes_ichneumon,Egyptian mongoose,Herpestes ichneumon,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,assets/species_svg/herpestes_ichneumon.svg,phylopic,39_mongoose,640e09b5-4e1b-4143-90c4-9ea924c8d270,Herpestes ichneumon,CC0,,ok,Exact species
