gene_id,gene,protein_id,id_type,reference_protein,protein_length_aa,protein_mass_kda,exon_count,genes_in_system,recipient_organism_count,disorder_pct,isoelectric_point_pI,gravy_score,key_publication_year,category,gene_price
dsup,Dsup,P0DOW4,uniprot,Dsup,445,49.0,4,1,5,72,9.8,-1.3,2016,Stress Resistance,8
has2_nmr,HAS2,Q92819,uniprot,HAS2,552,63.2,4,1,1,8,7.6,-0.05,2013,Longevity & Genome,3
cirbp,CIRBP,Q14011,uniprot,CIRBP,172,18.6,6,1,1,55,9.4,-0.85,2017,Stress Resistance,1
sod2,SOD2,P04179,uniprot,SOD2,222,24.7,5,1,2,5,8.4,-0.28,2012,Stress Resistance,1
foxo3,FOXO3,O43524,uniprot,FOXO3,673,71.3,3,1,2,45,5.2,-0.72,2015,Longevity & Genome,4
klotho,Klotho,Q9UEF7,uniprot,KL,1012,116.0,5,1,1,10,5.5,-0.33,2010,Longevity & Genome,5
tp53_elephant,TP53 (Elephant variant),P04637,uniprot,TP53,393,43.7,11,1,1,30,6.3,-0.68,2015,Longevity & Genome,3
mgmt_p140k,MGMT,P16455,uniprot,MGMT,207,21.7,5,1,1,8,7.4,-0.3,2010,Longevity & Genome,8
tert,TERT,O14746,uniprot,TERT,1132,127.0,16,1,2,15,9.9,-0.47,2016,Regeneration,4
aqp1,AQP1,P29972,uniprot,AQP1,269,28.6,4,1,2,3,7.7,0.45,2013,Environmental Adaptation,4
epas1_tibetan,EPAS1,Q99814,uniprot,EPAS1,870,96.8,16,1,1,35,5.4,-0.62,2014,Environmental Adaptation,6
cahs_d,CAHS D,P0DOW5,uniprot,CAHS D,227,23.5,2,1,3,85,10.2,-1.45,2015,Stress Resistance,6
ppri_ppra,PprA / PprI,"","",PprA,300,33.0,1,2,2,10,5.0,-0.25,2016,Stress Resistance,7
melanin_pathway,Melanin synthesis pathway,"","",TYR,532,60.8,1,5,0,5,6.8,-0.15,2007,Stress Resistance,5
tp53_rtg9,TP53-RTG,"","",TP53,360,40.0,1,20,1,25,6.5,-0.6,2023,Longevity & Genome,4
greenland_shark_repair,DNA repair network + p53 variant,"","",TP53,393,43.7,11,81,0,30,6.3,-0.68,2024,Longevity & Genome,4
pot1_turritopsis,POT1 variant + SIRT3 + RTEL1,"","",POT1,634,71.4,22,3,0,18,6.0,-0.4,2025,Regeneration,8
smedwi,piwi + smedwi genes,"","",SMEDWI-2,861,98.5,1,3,0,12,9.2,-0.52,2015,Regeneration,10
lin28a,Lin28,Q9H9Z2,uniprot,LIN28A,209,22.7,4,1,2,20,9.0,-0.7,2011,Regeneration,8
sting_bat,STING S358 variant,"","",STING1,379,42.2,8,1,1,5,5.8,0.02,2020,Environmental Adaptation,6
mb_seal,MB (myoglobin) + glutathione system,"","",MB,154,17.2,3,2,0,2,7.3,-0.38,2020,Stress Resistance,4
afp_fish,AFPs,P04002,uniprot,AFP Type I,113,12.2,3,1,5,5,5.5,-0.1,2019,Stress Resistance,5
clock_bmal1_dolphin,CLOCK + BMAL1 (cetacean variants),"","",CLOCK,855,95.4,20,2,0,22,6.2,-0.55,2024,Environmental Adaptation,20
prestin_echo,Prestin / SLC26A5 (echolocator variants),"","",SLC26A5,744,81.4,21,1,0,4,6.0,0.08,2010,Perception,6
trpa1_viper,TRPA1 (pit viper variant),"","",TRPA1,1119,127.5,27,1,0,8,6.5,-0.15,2010,Perception,9
cry4a_robin,CRY4a,"","",CRY4,590,66.0,12,1,0,15,6.2,-0.3,2021,Perception,8
tapetum,Tapetum lucidum (guanine nanocrystal array),"","",CRYGN,587,65.3,7,4,0,12,6.8,-0.25,2015,Perception,7
reflectin,Reflectin + chromatophore system,"","",Reflectin A1,294,32.0,1,6,0,40,3.9,-0.8,2019,Expression,12
gfp,GFP (Green Fluorescent Protein),P42212,uniprot,GFP,238,26.9,1,1,9,2,5.8,-0.55,1994,Expression,8
fluc,Luciferase + luciferin system,P08659,uniprot,Luciferase,550,60.7,7,2,5,8,6.4,-0.35,2006,Expression,10
scn4aa,scn4aa,"","",scn4aa,1820,208.0,27,1,0,2,5.4,-0.02,2019,Environmental Adaptation,12
