gene_id,gene,category,pdb_id,protein_id,structure_source,render_style,file,triangles,dimensions_mm,max_dim_mm,surface_area_cm2,shells,tiny_shells,watertight,aspect_ratio,difficulty
mtor_hypomorph,MTOR,Longevity & Genome,8ERA,P42345,rcsb,cartoon,8ERA_cartoon.stl,1092850,180.0 x 105.9 x 150.3,180.0,1735.47,1272,20,false,1.7,expert
"","","","","","",cartoon,5W21_cartoon.stl,546192,180.0 x 129.3 x 179.0,180.0,1244.85,859,3,false,1.4,expert
kcnma1_skate,KCNMA1,Perception,6V5A,Q12791,rcsb,cartoon,6V5A_cartoon.stl,333164,164.0 x 169.9 x 180.0,180.0,1148.39,485,7,false,1.1,expert
klotho,Klotho,Longevity & Genome,8TOH,Q9UEF7,rcsb,cartoon,8TOH_cartoon.stl,454328,104.9 x 107.5 x 180.0,180.0,1021.41,566,3,false,1.7,expert
pif,Pif,Expression,"",C7G0B5,alphafold,cartoon,C7G0B5_predicted_cartoon.stl,469458,147.6 x 143.3 x 180.0,180.0,723.79,433,1,false,1.3,expert
tps_pv,TPS,Environmental Adaptation,"",C9K4M3,alphafold,cartoon,C9K4M3_predicted_cartoon.stl,435380,143.5 x 152.6 x 180.0,180.0,861.71,535,1,false,1.3,expert
trpa1_viper,TRPA1,Perception,"",D4P383,alphafold,cartoon,D4P383_predicted_cartoon.stl,552448,174.6 x 125.3 x 180.0,180.0,1093.25,607,1,false,1.4,expert
smedwi,PIWI / SMEDWI,Regeneration,"",Q2Q5Y8,alphafold,cartoon,Q2Q5Y8_predicted_cartoon.stl,438216,157.7 x 152.5 x 180.0,180.0,1200.44,567,1,false,1.2,expert
fluc,Luciferase / Luciferin,Expression,3RIX,P08659,rcsb,cartoon,3RIX_cartoon.stl,252776,161.0 x 142.9 x 180.0,180.0,908.15,400,1,false,1.3,hard
hspa1a_ehsp70,HSPA1A (Hsp70) — exogenous recombinant protein,Stress Resistance,5BN8,P0DMV8,rcsb,cartoon,5BN8_cartoon.stl,219002,141.7 x 164.7 x 180.0,180.0,842.1,331,0,false,1.3,hard
prestin_echo,Prestin,Perception,7S8X,D7PC76,rcsb,cartoon,7S8X_cartoon.stl,346462,165.7 x 140.1 x 180.0,180.0,832.53,409,2,false,1.3,hard
clu_secreted,"CLU (clusterin / apolipoprotein J, secreted isoform)",Stress Resistance,7ZET,P10909,rcsb,cartoon,7ZET_cartoon.stl,211724,180.0 x 108.5 x 173.8,180.0,624.55,313,2,false,1.7,hard
sod2,SOD2,Stress Resistance,9NSJ,P04179,rcsb,cartoon,9NSJ_cartoon.stl,212422,169.5 x 180.0 x 144.2,180.0,782.1,587,1,false,1.2,hard
clock_bmal1_dolphin,CLOCK / BMAL1,Environmental Adaptation,"",A0A6J3RDU0,alphafold,cartoon,A0A6J3RDU0_predicted_cartoon.stl,353568,175.4 x 176.3 x 180.0,180.0,533.38,215,1,false,1.0,hard
grn_aav,GRN (progranulin),Longevity & Genome,"",P28799,alphafold,cartoon,P28799_predicted_cartoon.stl,356462,169.5 x 180.0 x 151.9,180.0,753.54,534,1,false,1.2,hard
cpdp_potoroo,CPD Photolyase,Environmental Adaptation,"",Q28811,alphafold,cartoon,Q28811_predicted_cartoon.stl,271848,180.0 x 139.6 x 143.3,180.0,670.94,326,1,false,1.3,hard
has2_nmr,HAS2,Longevity & Genome,"",Q92819,alphafold,cartoon,Q92819_predicted_cartoon.stl,272496,180.0 x 146.8 x 174.9,180.0,926.61,295,1,false,1.2,hard
piezo2,PIEZO2,Perception,"",Q9H5I5,alphafold,cartoon,Q9H5I5_predicted_cartoon.stl,326908,160.7 x 180.0 x 162.5,180.0,631.88,301,1,false,1.1,hard
"","","","","","",cartoon,3HH2_cartoon.stl,178326,122.7 x 114.0 x 180.0,180.0,467.57,299,2,false,1.6,hard
gfp,GFP,Expression,6L27,P42212,rcsb,cartoon,6L27_cartoon.stl,136590,137.2 x 164.4 x 180.0,180.0,572.51,230,1,false,1.3,hard
"","","","","","",cartoon,7S5H_cartoon.stl,133794,180.0 x 177.0 x 174.6,180.0,792.76,206,2,false,1.0,hard
pparg_pro12ala,"PPARG (Pro12Ala, PPARγ2 variant)",Longevity & Genome,9F7W,P37231,rcsb,cartoon,9F7W_cartoon.stl,168342,115.6 x 130.7 x 180.0,180.0,654.64,295,1,false,1.6,hard
masp1,MaSp1,Expression,"",P19837,alphafold,cartoon,P19837_predicted_cartoon.stl,315138,134.7 x 168.1 x 180.0,180.0,621.93,188,1,false,1.3,hard
fst344,FST,Regeneration,"",P19883,alphafold,cartoon,P19883_predicted_cartoon.stl,191778,180.0 x 74.7 x 140.0,180.0,380.4,256,0,false,2.4,hard
resilin,Resilin,Expression,"",Q9V7U0,alphafold,cartoon,Q9V7U0_predicted_cartoon.stl,234918,180.0 x 147.7 x 169.5,180.0,295.27,73,1,false,1.2,hard
sirt4_fatbody,"SIRT4 (mitochondrial sirtuin, fat-body/adipose overexpression)",Stress Resistance,"",Q9Y6E7,alphafold,cartoon,Q9Y6E7_predicted_cartoon.stl,161922,93.3 x 88.0 x 180.0,180.0,394.06,205,1,false,2.0,hard
vegf_therapy,VEGF,Regeneration,1MKK,P15692,rcsb,cartoon,1MKK_cartoon.stl,48672,110.7 x 138.5 x 180.0,180.0,218.99,62,1,false,1.6,medium
epas1_tibetan,EPAS1,Environmental Adaptation,1P97,Q99814,rcsb,cartoon,1P97_cartoon.stl,59390,180.0 x 110.3 x 142.4,180.0,303.93,78,1,false,1.6,medium
mgmt_p140k,MGMT,Longevity & Genome,1QNT,P16455,rcsb,cartoon,1QNT_cartoon.stl,87126,169.2 x 180.0 x 118.8,180.0,456.96,116,2,false,1.5,medium
foxo3,FOXO3,Longevity & Genome,2K86,O43524,rcsb,cartoon,2K86_cartoon.stl,50348,108.0 x 180.0 x 78.8,180.0,204.63,56,1,false,2.3,medium
tp53_elephant,TP53 (elephant),Longevity & Genome,3D06,P04637,rcsb,cartoon,3D06_cartoon.stl,99116,139.8 x 180.0 x 170.8,180.0,447.85,143,3,false,1.3,medium
"","","","","","",cartoon,3F1P_cartoon.stl,59738,180.0 x 133.2 x 127.1,180.0,339.22,77,1,false,1.4,medium
mif_ko,MIF (macrophage migration inhibitory factor),Longevity & Genome,3HOF,P14174,rcsb,cartoon,3HOF_cartoon.stl,62344,116.2 x 111.4 x 180.0,180.0,301.49,80,1,false,1.6,medium
aqp1,AQP1,Environmental Adaptation,4CSK,P29972,rcsb,cartoon,4CSK_cartoon.stl,122146,116.0 x 125.5 x 180.0,180.0,507.48,151,1,false,1.6,medium
chrna1_mongoose,CHRNA1,Environmental Adaptation,4ZJS,P02708,rcsb,cartoon,4ZJS_cartoon.stl,105690,156.1 x 180.0 x 157.8,180.0,396.78,128,1,false,1.2,medium
"","","","","","",cartoon,5F3B_cartoon.stl,55374,130.3 x 180.0 x 142.9,180.0,262.93,74,2,false,1.4,medium
mstn_ko,MSTN,Regeneration,5NTU,O14793,rcsb,cartoon,5NTU_cartoon.stl,157682,161.7 x 115.2 x 180.0,180.0,414.13,193,2,false,1.6,medium
cirbp,CIRBP,Environmental Adaptation,5TBX,Q14011,rcsb,cartoon,5TBX_cartoon.stl,46760,104.6 x 145.3 x 180.0,180.0,308.12,68,1,false,1.7,medium
"","","","","","",cartoon,5UDZ_cartoon.stl,78596,180.0 x 142.3 x 152.6,180.0,366.25,116,1,false,1.3,medium
tert,TERT,Regeneration,5UGW,O14746,rcsb,cartoon,5UGW_cartoon.stl,91668,108.4 x 97.8 x 180.0,180.0,408.67,146,1,false,1.8,medium
nudt1_mth1_tg,NUDT1 (MTH1),Stress Resistance,6EQ4,P36639,rcsb,cartoon,6EQ4_cartoon.stl,91032,172.0 x 180.0 x 174.6,180.0,566.73,146,1,false,1.0,medium
fgf21_stgfbr2,FGF21 / sTGFβR2,Longevity & Genome,6M6E,Q9NSA1,rcsb,cartoon,6M6E_cartoon.stl,70262,138.2 x 155.5 x 180.0,180.0,393.21,100,1,false,1.3,medium
pcsk9_edit,PCSK9,Longevity & Genome,6U26,Q8NBP7,rcsb,cartoon,6U26_cartoon.stl,47168,120.0 x 128.8 x 180.0,180.0,238.07,59,1,false,1.5,medium
rbm3,RBM3,Environmental Adaptation,7EB1,P98179,rcsb,cartoon,7EB1_cartoon.stl,44274,180.0 x 138.2 x 133.9,180.0,324.63,58,1,false,1.3,medium
apoe_edit,APOE,Longevity & Genome,7FCR,P02649,rcsb,cartoon,7FCR_cartoon.stl,64366,165.7 x 89.7 x 180.0,180.0,343.38,64,2,false,2.0,medium
tmc1,TMC1,Perception,8XOQ,Q8TDI8,rcsb,cartoon,8XOQ_cartoon.stl,126492,117.7 x 101.0 x 180.0,180.0,383.6,171,2,false,1.8,medium
"","","","","","",cartoon,8Y02_cartoon.stl,152928,142.7 x 180.0 x 170.6,180.0,676.17,194,1,false,1.3,medium
tp53_rtg9,TP53-RTG9,Longevity & Genome,"",G3UDE4,alphafold,cartoon,G3UDE4_predicted_cartoon.stl,159858,180.0 x 125.7 x 98.3,180.0,264.21,131,1,false,1.8,medium
reflectin,Reflectin,Expression,"",I7LGW2,alphafold,cartoon,I7LGW2_predicted_cartoon.stl,125926,142.8 x 120.3 x 180.0,180.0,287.2,118,1,false,1.5,medium
sting_bat,STING,Environmental Adaptation,"",L5JUR0,alphafold,cartoon,L5JUR0_predicted_cartoon.stl,171204,147.9 x 123.3 x 180.0,180.0,507.02,165,0,false,1.5,medium
sws1_bird,SWS1,Perception,"",P03999,alphafold,cartoon,P03999_predicted_cartoon.stl,165228,180.0 x 89.2 x 132.0,180.0,480.12,166,1,false,2.0,medium
cahs_d,CAHS D,Stress Resistance,"",P0DOW5,alphafold,cartoon,P0DOW5_predicted_cartoon.stl,105362,180.0 x 143.0 x 169.5,180.0,396.7,131,1,false,1.3,medium
gdf15_oe,GDF15 (NAG-1 / MIC-1),Longevity & Genome,"",Q99988,alphafold,cartoon,Q99988_predicted_cartoon.stl,142748,101.0 x 180.0 x 113.4,180.0,307.68,128,0,false,1.8,medium
ppri_ppra,PprI / PprA,Stress Resistance,"",Q9RXY7,alphafold,cartoon,Q9RXY7_predicted_cartoon.stl,164808,180.0 x 89.1 x 105.2,180.0,360.4,197,0,false,2.0,medium
mb_seal,MB / GSH,Environmental Adaptation,"",R9RY82,alphafold,cartoon,R9RY82_predicted_cartoon.stl,77296,139.0 x 180.0 x 163.1,180.0,511.16,90,1,false,1.3,medium
pvpimt,PvPIMT,Longevity & Genome,"",S6CDF7,alphafold,cartoon,S6CDF7_predicted_cartoon.stl,124932,150.1 x 147.6 x 180.0,180.0,629.12,170,1,false,1.2,medium
