gene_id,gene,protein_id,id_type,pdb_id,has_alphafold,reference_protein,protein_length_aa,protein_mass_kda,exon_count,genes_in_system,recipient_organism_count,disorder_pct,isoelectric_point_pI,gravy_score,key_publication_year,category,gene_price
acomys_regen,Acomys regen. program,,,,false,,,,,20,0,,,,2012,Regeneration,6
afp_fish,AFP / AFGP,P04002,uniprot,1WFB,true,AFP Type I,113,12.2,3,1,5,5,5.5,-0.1,2019,Environmental Adaptation,5
apoe_edit,APOE,P02649,uniprot,7FCR,true,APOE,317,36.2,4,1,2,25,5.5,-0.65,2025,Longevity & Genome,7
aqp1,AQP1,P29972,uniprot,4CSK,true,AQP1,269,28.6,4,1,2,3,7.7,0.45,2013,Environmental Adaptation,4
asc2_bat,ASC2 (Bat),,,,false,,,,,1,0,,,,2023,Longevity & Genome,7
avlige_rotifer,AvLigE,,,,false,,,,,1,0,,,,2023,Stress Resistance,5
cahs_d,CAHS D,P0DOW5,uniprot,,true,CAHS D,227,23.5,2,1,3,85,10.2,-1.45,2015,Stress Resistance,6
cbp_gecko,CBP,A0ABM1JV99,uniprot,,false,CBP,150,14.5,1,72,0,3,7.5,0.55,2015,Expression,20
chrna1_mongoose,CHRNA1,P02708,uniprot,4ZJS,true,Acetylcholine receptor subunit alpha,457,51.8,10,5,1,12,5.4,0.11,2015,Environmental Adaptation,6
cirbp,CIRBP,Q14011,uniprot,5TBX,true,CIRBP,172,18.6,6,1,1,55,9.4,-0.85,2017,Environmental Adaptation,4
clock_bmal1_dolphin,CLOCK / BMAL1,A0A6J3RDU0,uniprot,,true,CLOCK,855,95.4,20,2,0,22,6.2,-0.55,2024,Environmental Adaptation,8
cltx,Chlorotoxin,P45639,uniprot,7X43,true,Chlorotoxin,36,4,2,1,3,0,8.2,-0.25,2006,Expression,3
cpdp_potoroo,CPD Photolyase,Q28811,uniprot,,true,Deoxyribodipyrimidine photo-lyase,532,61.6,3,1,3,11,8.2,-0.52,2005,Environmental Adaptation,6
cry4a_robin,CRY4a,,,,false,CRY4,590,66,12,1,0,15,6.2,-0.3,2021,Perception,5
csmg_snail,CSMG,,,,false,,,,,25,0,,,,2019,Expression,4
dsup,Dsup,P0DOW4,uniprot,,true,Dsup,445,49,4,1,5,72,9.8,-1.3,2016,Stress Resistance,6
